Year,afghanistan,albania,algeria,american-samoa,andorra,antigua-and-barbuda,argentina,armenia,aruba,australia,austria,azerbaijan,bahamas,bahrain,barbados,belarus,belgium,belize,benin,bermuda,botswana,brazil,british-virgin-islands,bulgaria,burkina-faso,burundi,canada,cayman-islands,central-african-republic,chad,chile,china,colombia,comoros,costa-rica,croatia,cuba,curacao,cyprus,democratic-republic-of-congo,denmark,dominica,dominican-republic,ecuador,equatorial-guinea,eritrea,estonia,ethiopia,faroe-islands,fiji,finland,france,french-polynesia,gabon,gambia,germany,gibraltar,greece,greenland,grenada,guam,guatemala,guinea,guyana,haiti,hong-kong,hungary,iceland,iran,iraq,ireland,isle-of-man,israel,italy,jamaica,japan,jordan,kazakhstan,kuwait,latvia,lebanon,liberia,libya,liechtenstein,lithuania,luxembourg,macao,madagascar,malawi,malaysia,maldives,mali,mali_pop_data,malta,marshall-islands,mauritius,mexico,monaco,montenegro,mozambique,namibia,nauru,nepal,netherlands,new-caledonia,new-zealand,niger,north-korea,north-macedonia,northern-mariana-islands,norway,oman,palau,panama,paraguay,peru,poland,portugal,puerto-rico,qatar,romania,russia,rwanda,samoa,san-marino,saudi-arabia,senegal,serbia,seychelles,sierra-leone,singapore,slovenia,somalia,south-africa,south-korea,south-sudan,spain,suriname,sweden,switzerland,taiwan,tajikistan,tanzania,thailand,togo,tonga,trinidad-and-tobago,turkmenistan,turks-and-caicos-islands,tuvalu,uae,uganda,united-kingdom,united-states,uruguay,venezuela,yemen,zimbabwe
2023,42239854,2832439,45606480,43914,80088,94298,45773884,2777970,106277,26439111,8958960,10412651,412623,1485509,281995,9498238,11686140,410825,13712828,64069,2675352,216422446,31538,6687717,23251485,13238559,38781291,69310,5742315,18278568,19629590,1425671352,52085168,852075,5212173,4008617,11194449,192077,1260138,102262808,5910913,73040,11332972,18190484,1714671,3748901,1322765,126527060,53270,936375,5545475,64756584,308872,2436566,2773168,83294633,32688,10341277,56643,126183,172952,18092026,14190612,813834,11724763,7491609,10156239,375318,89172767,45504560,5056935,84710,9174520,58870762,2825544,123294513,11337052,19606633,4310108,1830211,5353930,5418377,6888388,39584,2718352,654768,704149,30325732,20931751,34308525,521021,23293698,23293698,535064,41996,1300557,128455567,36297,626485,33897354,2604172,12780,30896590,17618299,292991,5228100,27202843,26160821,2085679,49796,5474360,4644384,18058,4468087,6861524,34352719,41026067,10247605,3260314,2716391,19892812,144444359,14094683,225681,33642,36947025,17763163,7149077,107660,8791092,6014723,2119675,18143378,60414495,51784059,11088796,47519628,623236,10612086,8796669,23923276,10143543,67438106,71801279,9053799,107773,1534937,6516100,46062,11396,9516871,48582334,67736802,339996563,3423108,28838499,34449825,16665409
2022,41128771,2842321,44903225,44273,79824,93763,45510318,2780469,106445,26177413,8939617,10358074,409984,1472233,281635,9534954,11655930,405272,13352864,64184,2630296,215313498,31305,6781953,22673762,12889576,38454327,68706,5579144,17723315,19603733,1425887337,51874024,836774,5180829,4030358,11212191,191163,1251488,99010212,5882261,72737,11228821,18001000,1674908,3684032,1326062,123379924,53090,929766,5540745,64626628,306279,2388992,2705992,83369843,32649,10384971,56466,125438,171774,17843908,13859341,808726,11584996,7488865,9967308,372899,88550570,44496122,5023109,84519,9038309,59037474,2827377,123951692,11285869,19397998,4268873,1850651,5489739,5302681,6812341,39327,2750055,647599,695168,29611714,20405317,33938221,523787,22593590,22593590,533286,41569,1299469,127504125,36469,627082,32969518,2567012,12668,30547580,17564014,289950,5185288,26207977,26069416,2093599,49551,5434319,4576298,18055,4408581,6780744,34049588,39857145,10270865,3252407,2695122,19659267,144713314,13776698,222382,33660,36408820,17316449,7221365,107118,8605718,5975689,2119844,17597511,59893885,51815810,10913164,47558630,618040,10549347,8740472,23893394,9952787,65497748,71697030,8848699,106858,1531044,6430770,45703,11312,9441129,47249585,67508936,338289857,3422794,28301696,33696614,16320537
2021,40099462,2854710,44177969,45035,79034,93219,45276780,2790974,106537,25921089,8922082,10312992,407906,1463265,281200,9578167,11611419,400031,12996895,64185,2588423,214326223,31122,6885868,22100683,12551213,38155012,68136,5457154,17179740,19493184,1425893465,51516562,821625,5153957,4060135,11256372,190338,1244188,95894118,5854240,72412,11117873,17797737,1634466,3620312,1328701,120283026,52889,924610,5535992,64531444,304032,2341179,2639916,83408554,32669,10445365,56243,124610,170534,17608483,13531906,804567,11447569,7494578,9709786,370335,87923432,43533592,4986526,84263,8900059,59240329,2827695,124612530,11148278,19196465,4250114,1873919,5592631,5193416,6735277,39039,2786651,639321,686607,28915653,19889742,33573874,521457,21904983,21904983,526748,42050,1298915,126705138,36686,627859,32077072,2530151,12511,30034989,17501696,287800,5129727,25252722,25971909,2103330,49481,5403021,4520471,18024,4351267,6703799,33715471,38307726,10290103,3256028,2688235,19328560,145102755,13461888,218764,33745,35950396,16876720,7296769,106471,8420641,5941060,2119410,17065581,59392255,51830139,10748272,47486935,612985,10467097,8691406,23859912,9750064,63588334,71601103,8644829,106017,1525663,6341855,45114,11204,9365145,45853778,67281039,336997624,3426260,28199867,32981641,15993524
2020,38972230,2866849,43451666,46189,77700,92664,45036032,2805608,106585,25670051,8907777,10284951,406471,1477469,280693,9633740,11561717,394921,12643123,64031,2546402,213196304,30910,6979175,21522626,12220227,37888705,67311,5343020,16644701,19300315,1424929781,50930662,806166,5123105,4096869,11300698,189288,1237537,92853164,5825641,71995,10999664,17588595,1596049,3555868,1329444,117190911,52415,920422,5529468,64480053,301920,2292573,2573995,83328988,32709,10512232,56026,123663,169231,17362718,13205153,797202,11306801,7500958,9750573,366669,87290193,42556984,4946119,84046,8757489,59500579,2820436,125244761,10928721,18979243,4360444,1897052,5662923,5087584,6653942,38756,2820267,630399,676283,28225177,19377061,33199993,514438,21224040,21224040,515358,43413,1297828,125998302,36922,629048,31178239,2489098,12315,29348627,17434557,286403,5061133,24333639,25867467,2111072,49587,5379839,4543399,17972,4294396,6618695,33304756,38428366,10298192,3271564,2760385,19442038,145617329,13146362,214929,34007,35997107,16436120,7358005,105530,8233970,5909869,2117641,16537016,58801927,51844690,10606227,47363807,607065,10368969,8638613,23821464,9543207,61704518,71475664,8442580,105254,1518147,6250438,44276,11069,9287289,44404611,67059474,335942003,3429086,28490453,32284046,15669666
2019,37769499,2873883,42705368,47321,76343,92117,44745520,2820602,106442,25357170,8879940,10232753,404557,1494188,280180,9673971,11510568,389095,12290444,63812,2499702,211782878,30610,7052532,20951639,11874838,37522584,66134,5209324,16126866,19039485,1421864031,50187406,790986,5084532,4129752,11316697,193107,1228836,89906890,5795878,71428,10881882,17343740,1553031,3498818,1327039,114120594,51681,918465,5521537,64399759,299717,2242785,2508883,83148141,32685,10574024,55931,122724,168624,17106338,12877539,798753,11160438,7496122,9771796,360774,86564202,41563520,4896019,83933,8607919,59727932,2813773,125791677,10698683,18754258,4441100,1916555,5781907,4985289,6569088,38482,2849083,619973,663653,27533134,18867337,32804020,504508,20567424,20567424,503635,44728,1296279,125085311,37034,630396,30285595,2446644,12132,28832496,17363262,285374,4959034,23443393,25755441,2114176,49858,5348279,4602768,17916,4232532,6530026,32824861,38493601,10289923,3292887,2807235,19524211,145742286,12835028,211905,34178,35827362,16000781,7401056,104373,8046828,5866405,2112901,15981300,58087055,51803829,10447666,47131372,600301,10267922,8575588,23777737,9337003,59872579,71307763,8243094,104951,1519955,6158420,43080,10956,9211657,42949080,66778659,334319671,3428409,28971683,31546691,15354608
2018,36686784,2877013,41927007,48424,75013,91626,44413596,2836557,105962,24979230,8840513,10152522,401906,1487340,279688,9695574,11448595,382066,11940683,63571,2451409,210166592,30335,7117431,20392723,11493472,37035254,64884,5094780,15604210,18701450,1417069468,49276961,776313,5040734,4160485,11328244,184722,1218831,87087355,5766686,70823,10765531,17015672,1502091,3445374,1322148,111129438,50955,918996,5515461,64277808,297606,2192012,2444916,82896696,32648,10633271,55931,121838,168678,16850176,12554864,785514,11012421,7481555,9776358,352946,85617562,40590700,4834507,83775,8456483,59877425,2811835,126255866,10459865,18538099,4317185,1935630,5950839,4889391,6477793,38181,2876128,607913,650991,26846541,18367883,32399271,489758,19934298,19934298,491586,45989,1295381,124013861,37029,631455,29423878,2405680,11924,28506712,17286042,284880,4838526,22577058,25638149,2113491,50304,5312320,4601157,17864,4165255,6443328,32203944,38521457,10289835,3319269,2766732,19606783,145652293,12531808,209701,34156,35018133,15574909,7433818,103101,7861281,5814537,2105924,15411094,57339635,51676900,10395329,46792043,593715,10162298,8514434,23726185,9128132,58090443,71127802,8046679,105150,1504709,6065066,41487,10865,9140169,41515395,66432993,332140037,3427042,29825653,30790513,15052184
2017,35643418,2879355,41136546,49463,73837,91119,44054616,2851923,105439,24590334,8797496,10071567,399020,1456834,279187,9707876,11384489,374693,11596779,63275,2401840,208504960,30060,7182428,19835858,11155593,36554348,63581,4996741,15085884,18368577,1410275957,48351671,761664,4993842,4192467,11336405,171524,1208523,84283273,5737284,70403,10647244,16696944,1450694,3396933,1317549,108197950,50230,919019,5508140,64144086,295450,2140215,2381182,82624374,32602,10692228,55928,120921,168606,16578723,12240789,763252,10863543,7461519,9788941,343632,84505076,39621162,4771854,83580,8309257,60004032,2808376,126662472,10215381,18314814,4124904,1954862,6109252,4796631,6378261,37889,2904450,596283,638609,26169542,17881167,31975806,472442,19311355,19311355,479497,47187,1294741,122839258,37044,632438,28569441,2364534,11682,28183426,17207198,284349,4746252,21737922,25516321,2111979,50729,5277392,4541854,17837,4096063,6355404,31605486,38532812,10307530,3366408,2711755,19698853,145452536,12230339,207630,34056,34193122,15157793,7464880,101811,7677565,5764487,2098392,14864221,56641209,51511639,10658226,46584170,587559,10058190,8451687,23665024,8925525,56267032,70898202,7852795,105415,1478607,5968383,39844,10828,9068296,40127085,66064804,329791231,3422200,30563433,30034389,14751101
2016,34636207,2881063,40339329,50448,72540,90564,43668241,2865835,104874,24195701,8736487,9976248,395976,1409661,278649,9708110,11316836,367313,11260085,63068,2352416,206859578,29739,7245975,19275498,10903327,36113532,62255,4904177,14592585,18083879,1401889681,47625955,746232,4945205,4223751,11342012,170739,1197881,81430977,5706857,70075,10527592,16439585,1398927,3365287,1315926,105293228,49500,918371,5495219,63989319,293541,2086206,2317206,82331423,32565,10749742,55916,119966,168346,16291004,11930985,759087,10713849,7435927,9815104,335675,83306231,38697943,4715788,83450,8159009,60118626,2802695,126993857,9964656,18078553,4048085,1973476,6258619,4706097,6282196,37609,2933673,583351,626688,25501941,17405624,31526418,454252,18700106,18700106,467705,48329,1293911,121519221,37071,633264,27696493,2323352,11437,27861186,17124505,283748,4668081,20921743,25389611,2110196,51133,5236590,4398070,17816,4026336,6266615,31132779,38532113,10332753,3432740,2595166,19797820,145109157,11930899,205544,33834,33416270,14751356,7493288,100508,7493913,5711933,2090020,14292847,56422274,51309984,11066105,46473315,581453,9953317,8372898,23594471,8725318,54401802,70607037,7661354,105707,1469330,5868561,38246,10852,8994263,38748299,65655203,327210198,3413766,30741464,29274002,14452704
2015,33753499,2882481,39543154,51368,71746,89941,43257065,2878595,104257,23820236,8642421,9863480,392697,1362142,278083,9700609,11248303,359871,10932783,63144,2305171,205188205,29366,7309253,18718019,10727148,35732126,60911,4819333,14140274,17870124,1393715448,47119728,730216,4895242,4254815,11339894,169572,1187280,78656904,5677796,70007,10405832,16195902,1346973,3340006,1314657,102471895,48816,917200,5479461,63809769,291787,2028517,2253133,82073226,32520,10806641,55895,118980,167978,16001107,11625998,755031,10563757,7399838,9844246,331060,81790841,37757813,4665760,83593,8007778,60232906,2794445,127250933,9494246,17835909,3908743,1991955,6398940,4612329,6192235,37355,2963765,569408,615239,24850912,16938942,31068833,435582,18112907,18112907,456579,49410,1293153,120149897,36760,633966,26843246,2282704,11185,27610325,17041107,283032,4590590,20128124,25258015,2107962,51514,5190356,4191776,17794,3957099,6177950,30711863,38553146,10365435,3497335,2414573,19906079,144668389,11642959,203571,33570,32749848,14356181,7519496,99240,7314773,5650018,2080862,13763906,55876504,50994401,11194299,46431342,575475,9849349,8281732,23512136,8524063,52542823,70294397,7473229,106122,1460177,5766431,36538,10877,8916899,37477356,65224364,324607776,3402818,30529716,28516545,14154937
2014,32716210,2884102,38760168,52217,71621,89236,42824054,2889930,103594,23469579,8546066,9741880,389131,1311134,277493,9693739,11176723,352335,10614844,63355,2260376,203459650,28971,7372141,18169842,10494913,35404608,59559,4798734,13697126,17687108,1385189668,46677947,714612,4844288,4283972,11332026,168025,1176995,76035588,5650653,69371,10282115,15957994,1295183,3323425,1314526,99746766,48465,915560,5461440,63588491,289873,1966855,2189019,81858825,32452,10862969,55953,117972,167543,15713740,11333365,751115,10412740,7352183,9867901,327644,79961672,36746488,4622167,83896,7863846,60322791,2784543,127476735,8658026,17592298,3761584,2011039,6274342,4519398,6097764,37096,2994927,556069,604167,24215976,16477966,30606459,416738,17551814,17551814,446441,50419,1292113,118755887,36110,634294,26038704,2243001,10940,27462106,16954081,280798,4514195,19372014,25126131,2105291,51856,5137923,4009267,17796,3888793,6090721,30353951,38581872,10408372,3560010,2214465,19995836,144285070,11368451,201757,33389,32125564,13970308,7543960,98001,7140688,5570502,2074917,13309235,54729551,50558043,11213284,46464551,569682,9747508,8187791,23422513,8326348,50814552,69960943,7288383,106626,1450661,5663152,34985,10899,8835951,36336539,64773504,322033964,3391662,30193258,27753304,13855753
2013,31541209,2887014,38000626,52995,71367,88497,42388269,2901385,102880,23111782,8479539,9614478,385650,1261673,276865,9691137,11103257,344688,10308730,63506,2217278,201721767,28657,7431167,17636408,10149577,35063691,58212,4802428,13216766,17509925,1376100308,46237930,699393,4791535,4308854,11321579,166136,1166968,73460021,5625385,68819,10157051,15722989,1243941,3296367,1317982,97084366,48418,913453,5438872,63335180,288032,1902226,2124869,81680591,32411,10914505,56089,116945,167054,15422662,11055430,747420,10261206,7296827,9894639,324024,78458928,35481800,4588832,84144,7726676,60312599,2773129,127678924,7694814,17345732,3646518,2031486,5678851,4427313,5985221,36806,3028189,543066,593374,23588073,16024775,30134807,400728,17004033,17004033,437525,51352,1290691,117290686,35425,633946,25251731,2204510,10694,27381555,16867352,276394,4450644,18653199,25001819,2102215,52141,5080668,3816680,17805,3821556,6005652,30038809,38607353,10464535,3615018,2035501,20066546,143956866,11101350,199939,33285,31482498,13595566,7566676,96714,6964859,5478055,2072374,12852485,53873616,50098229,11106031,46603459,563947,9648932,8088367,23330334,8136610,49253643,69578602,7106229,107089,1440729,5560095,33594,10918,8751847,35273570,64302297,319375166,3381180,29838021,26984002,13555422
2012,30466479,2892193,37260563,53691,71013,87674,41952365,2914421,102112,22729269,8429637,9485576,382061,1224939,276197,9693749,11031139,337059,10014078,63560,2175425,199977707,28421,7488344,17113732,9795479,34691878,56860,4773306,12754906,17341771,1366560818,45782417,684553,4736593,4331595,11309290,163948,1156556,70997870,5600959,68888,10030882,15483883,1193636,3252596,1322682,94451280,48392,911059,5413859,63071416,286584,1836705,2061014,81545565,32160,10963635,56199,115912,166392,15128306,10788692,743966,10108539,7234060,9922127,320979,77324451,33864447,4564550,84338,7592106,60190145,2759817,127853688,7211863,17102864,3394663,2053636,5178337,4331740,5869870,36505,3063341,530585,582766,22966240,15581251,29660212,387539,16514687,16514687,429907,52203,1288745,115755909,34700,633051,24487611,2167470,10444,27330694,16785299,271303,4410284,17954407,24887770,2099478,52359,5019056,3535579,17946,3754862,5923322,29749589,38625874,10522086,3657988,1905660,20137118,143629362,10840334,198124,33132,30821543,13231833,7591350,95309,6788587,5381005,2069354,12440326,53145033,49634185,10701604,46756082,558111,9555987,7995738,23234058,7956382,47786137,69157023,6926635,107502,1430377,5458682,32081,10854,8664969,34273295,63808727,316651321,3371133,29470426,26223391,13265331
2011,29249157,2900654,36543541,54310,70567,86729,41520740,2928976,101288,22357034,8391200,9359014,377950,1212077,275486,9706981,10955743,329538,9726380,63533,2134037,198185302,27962,7543130,16602651,9455733,34323531,55492,4732022,12317730,17173573,1357095481,45308899,670071,4679926,4351842,11298710,161677,1145086,68654269,5576016,68742,9903737,15237728,1144588,3207570,1327429,91817929,48386,908355,5388166,62775268,285265,1772500,1998212,81423378,31701,11004725,56288,114918,165649,14833453,10527712,744230,9954312,7175364,9953245,319293,76342971,32378061,4544501,84350,7459749,60025952,2746169,128007257,7109980,16864917,3143825,2076974,5045056,4181150,6188132,36189,3099798,518206,571003,22348158,15146094,29184133,374440,16039734,16039734,423571,52971,1286236,114150481,33945,631788,23760421,2132340,10283,27266399,16701472,266303,4381269,17283112,24783789,2097099,52520,4953561,3206870,18240,3688674,5843939,29477721,38620847,10564826,3691614,1804171,20220285,143364543,10576932,196351,32495,30150945,12875880,7620918,93827,6612385,5281344,2065453,12216837,52443325,49169878,10243050,46729232,552146,9467388,7910982,23143071,7784819,46416031,68712846,6748672,107611,1420020,5360811,30816,10700,8575205,33295738,63286362,313876608,3361637,29096159,25475610,13025785
2010,28189672,2913399,35856344,54849,71519,85695,41100123,2946293,100341,22019168,8362829,9237202,373272,1213645,274711,9731427,10877947,322106,9445710,63447,2091664,196353492,27556,7592273,16116845,9126605,33963412,54074,4660067,11894727,17004162,1348191368,44816108,656024,4622252,4368682,11290417,159380,1129686,66391257,5550849,68755,9775755,14989585,1094524,3147727,1331535,89237791,48410,905169,5363271,62444567,283788,1711105,1937275,81325090,31262,11033783,56351,114039,164905,14543121,10270728,747932,9842880,7132438,9986825,318333,75373855,31264875,4524585,83828,7328445,59822450,2733896,128105431,6931258,16627837,2943356,2101530,4995800,4019956,6491988,35926,3139019,507070,557297,21731053,14718422,28717731,361575,15529181,15529181,418755,53416,1283330,112532401,33178,631044,23073723,2099271,10241,27161567,16617117,261426,4346338,16647543,24686435,2093828,54087,4889741,2881914,18540,3623617,5768613,29229572,38597353,10588401,3717922,1713504,20335211,143242599,10309031,194672,31608,29411929,12530121,7653748,92409,6436698,5163590,2057287,12026649,51784921,48813042,9714419,46572772,546080,9381729,7822435,23083083,7621779,45110527,68270489,6571855,107383,1410296,5267970,29726,10550,8481771,32341728,62760039,311182845,3352651,28715022,24743946,12839771
2009,27385307,2930541,35196037,55366,73852,84534,40684338,2964296,99212,21660892,8342935,9119628,368057,1179453,273791,9757708,10801356,314171,9172514,63353,2048997,194517549,27044,7634735,15650022,8709366,33593917,52602,4564540,11496128,16833447,1339125595,44313917,642493,4563127,4382130,11283185,157010,1110974,64270232,5526452,68787,9648061,14742766,1043686,3083888,1334552,86755585,48429,901383,5338815,62093296,282283,1653542,1878119,81260615,30819,11055496,56442,113249,164580,14259411,10021323,751258,9730638,7094595,10008579,318800,74322685,30289040,4499792,82915,7199703,59562841,2722401,128117042,6780493,16402369,2795550,2126265,4951135,3905066,6360191,35675,3180479,497868,543021,21117092,14298932,28217204,349037,15032635,15032635,415500,53593,1279868,111049428,32401,631182,22436660,2067919,10233,27026941,16536208,256976,4302886,16037915,24581509,2089787,57056,4829199,2697537,18826,3559343,5702574,29009326,38555285,10591343,3738939,1610274,20466318,143163643,10043737,193176,31059,28483797,12195029,7688034,91030,6259842,5010704,2045578,11730037,51170779,48588019,9229227,46367772,539987,9301413,7734405,23044082,7468596,43957933,67813654,6398624,107144,1401191,5180957,28581,10408,7992644,31412520,62243378,308512035,3344156,28327892,24029589,12679810
2008,26427199,2951689,34569592,55891,76055,83251,40273769,2983421,97996,21247873,8321131,8999696,362795,1110343,272635,9787826,10726716,305671,8906469,63258,2007320,192672317,26115,7674913,15197915,8278109,33218541,51123,4467233,11098664,16661462,1330167148,43815313,629470,4501921,4393664,11276609,154587,1092390,62249724,5502751,68782,9522948,14496797,994971,3005779,1337011,84357105,48411,896731,5313350,61721009,280558,1599978,1820542,81217482,30398,11073623,56578,112478,164725,13979451,9779785,754150,9575247,7050677,10023510,317715,73318394,29218381,4452392,81997,7074522,59224228,2711373,128077633,6632873,16196517,2650930,2150412,4887613,3783887,6228370,35401,3224378,488635,529038,20513599,13889423,27664296,336883,14551117,14551117,413401,53816,1275684,109684489,31862,631466,21845571,2038552,10243,26881544,16460770,253077,4260239,15455175,24469047,2086227,60032,4768654,2651028,19102,3495276,5645148,28806185,38522882,10580960,3757619,1444277,20597508,143086549,9781996,191787,30700,27437353,11872929,7722794,89644,6090860,4838402,2034033,11444870,50565812,48398626,8823888,45966538,533938,9229271,7638288,22998321,7324627,42870884,67328239,6222482,106932,1392803,5100083,27422,10272,6988685,30509862,61742151,305694910,3336126,27933833,23329004,12550347
2007,25903301,2976084,33983827,56383,78168,82016,39876111,3004393,96787,20830828,8294722,8878411,357666,1040532,271444,9825986,10653697,297173,8647761,63156,1966977,190779453,25191,7719035,14757074,7944609,32862459,49647,4375569,10722731,16495538,1321513224,43306582,616899,4440019,4405532,11269887,152119,1073873,60289422,5479722,68775,9402206,14251835,948814,2926168,1340574,81996185,48361,890648,5288689,61329376,278178,1549774,1764883,81183830,29996,11091493,56708,111725,164763,13696606,9547082,756521,9420826,7001456,10041172,311853,72319418,28660887,4359834,81100,6952003,58778482,2701221,128006426,6473457,16006136,2506769,2176053,4809608,3632740,6097177,35150,3272418,479868,515330,19924958,13495463,27092604,325126,14080912,14080912,412081,54038,1270584,108302973,31823,631923,21280513,2011492,10267,26713655,16391232,249367,4221494,14897873,24356506,2083488,63050,4709577,2605700,19366,3431614,5590145,28600387,38521874,10565551,3775440,1231893,20744230,143117693,9523168,190478,30372,26400068,11563869,7758174,88325,5939163,4663256,2023229,11118092,49996094,48220601,8417823,45245782,527946,9164272,7541904,22942308,7188391,41716497,66826754,6047537,106638,1384861,5024894,26268,10149,5872624,29629804,61260676,302743399,3328651,27525097,22641538,12450568
